# recv_wall_s	seq	t_ns	prev	event	next	action
1787511717.263657	1	4568886233244793	0	1	1	SENT
1787511718.764238	2	4568887733830337	1	0	1	held
1787511720.264344	3	4568889233931678	1	1	2	SENT
1787511721.764649	4	4568890734235888	2	0	2	held
1787511723.265162	5	4568892234761953	2	0	2	held
1787511724.765548	6	4568893735138745	2	2	1	SENT
1787511726.265807	7	4568895235401429	1	2	0	SENT
1787511727.766198	8	4568896735793113	0	1	1	SENT
1787511729.266798	9	4568898236392554	1	1	2	SENT
# merkle_root=624fb50d31df357f14a6a85775fa69192da6fcc0d182c5dac2a7d82b7ca3842a policy_hash=207748442a7915c8 events=9 deltas=6 holds=3 receipts=9
