BOOT 2026-08-26T05:32:51 attach-only, no PL download
ATTACHED ip=ppt_0 base=0x40000000
MAGIC 0x50505431 ok
A3ROW {"policy": "network_admission", "scenario": "allow_https_1", "fabric_target": 6, "fabric_edge": 5, "cause": 0, "python_target": 6, "agree": true, "round_trip_us": 101.8}
A3ROW {"policy": "network_admission", "scenario": "deny_telnet_1", "fabric_target": 1, "fabric_edge": 0, "cause": 0, "python_target": 1, "agree": true, "round_trip_us": 94.2}
A3ROW {"policy": "network_admission", "scenario": "allow_internal_ssh_1", "fabric_target": 2, "fabric_edge": 1, "cause": 0, "python_target": 2, "agree": true, "round_trip_us": 90.7}
A3ROW {"policy": "network_admission", "scenario": "deny_external_ssh_1", "fabric_target": 3, "fabric_edge": 2, "cause": 0, "python_target": 3, "agree": true, "round_trip_us": 88.8}
A3ROW {"policy": "network_admission", "scenario": "allow_dns_small_1", "fabric_target": 4, "fabric_edge": 3, "cause": 0, "python_target": 4, "agree": true, "round_trip_us": 88.1}
A3ROW {"policy": "network_admission", "scenario": "deny_dns_large_1", "fabric_target": 5, "fabric_edge": 4, "cause": 0, "python_target": 5, "agree": true, "round_trip_us": 87.7}
A3ROW {"policy": "network_admission", "scenario": "boundary_dns_512", "fabric_target": 4, "fabric_edge": 3, "cause": 0, "python_target": 4, "agree": true, "round_trip_us": 93.8}
A3ROW {"policy": "network_admission", "scenario": "boundary_dns_513", "fabric_target": 5, "fabric_edge": 4, "cause": 0, "python_target": 5, "agree": true, "round_trip_us": 88.5}
A3ROW {"policy": "network_admission", "scenario": "observe_jumbo_1", "fabric_target": 7, "fabric_edge": 6, "cause": 0, "python_target": 7, "agree": true, "round_trip_us": 89.3}
A3ROW {"policy": "network_admission", "scenario": "boundary_jumbo_1399", "fabric_target": 9, "fabric_edge": 8, "cause": 0, "python_target": 9, "agree": true, "round_trip_us": 87.9}
A3ROW {"policy": "network_admission", "scenario": "boundary_jumbo_1400", "fabric_target": 7, "fabric_edge": 6, "cause": 0, "python_target": 7, "agree": true, "round_trip_us": 89.3}
A3ROW {"policy": "network_admission", "scenario": "allow_icmp_1", "fabric_target": 8, "fabric_edge": 7, "cause": 0, "python_target": 8, "agree": true, "round_trip_us": 87.5}
A3ROW {"policy": "network_admission", "scenario": "observe_other_1", "fabric_target": 9, "fabric_edge": 8, "cause": 0, "python_target": 9, "agree": true, "round_trip_us": 87.2}
A3ROW {"policy": "sensor_interlock", "scenario": "allow_nominal_1", "fabric_target": 4, "fabric_edge": 3, "cause": 0, "python_target": 4, "agree": true, "round_trip_us": 104.5}
A3ROW {"policy": "sensor_interlock", "scenario": "allow_armed_nominal_1", "fabric_target": 4, "fabric_edge": 3, "cause": 0, "python_target": 4, "agree": true, "round_trip_us": 93.8}
A3ROW {"policy": "sensor_interlock", "scenario": "observe_temp_1", "fabric_target": 3, "fabric_edge": 2, "cause": 0, "python_target": 3, "agree": true, "round_trip_us": 88.6}
A3ROW {"policy": "sensor_interlock", "scenario": "deny_temp_1", "fabric_target": 2, "fabric_edge": 1, "cause": 0, "python_target": 2, "agree": true, "round_trip_us": 89.6}
A3ROW {"policy": "sensor_interlock", "scenario": "deny_pressure_1", "fabric_target": 2, "fabric_edge": 1, "cause": 0, "python_target": 2, "agree": true, "round_trip_us": 88.6}
A3ROW {"policy": "sensor_interlock", "scenario": "boundary_temp_149", "fabric_target": 3, "fabric_edge": 2, "cause": 0, "python_target": 3, "agree": true, "round_trip_us": 88.5}
A3ROW {"policy": "sensor_interlock", "scenario": "boundary_temp_150", "fabric_target": 2, "fabric_edge": 1, "cause": 0, "python_target": 2, "agree": true, "round_trip_us": 88.8}
A3ROW {"policy": "sensor_interlock", "scenario": "boundary_nominal_119_749", "fabric_target": 4, "fabric_edge": 3, "cause": 0, "python_target": 4, "agree": true, "round_trip_us": 88.0}
A3ROW {"policy": "sensor_interlock", "scenario": "boundary_temp_120", "fabric_target": 3, "fabric_edge": 2, "cause": 0, "python_target": 3, "agree": true, "round_trip_us": 88.7}
A3ROW {"policy": "sensor_interlock", "scenario": "escalation_sensor_dark_armed_1", "fabric_target": 1, "fabric_edge": 0, "cause": 0, "python_target": 1, "agree": true, "round_trip_us": 87.6}
A3DONE 23/23 fabric targets equal the host Python targets (resident ppt_finale overlay, PS path)
ALLDONE
